[Fri Mar 04 16:32:00 PST 2022][LOG]		hello world!
[Fri Mar 04 16:32:02 PST 2022][LOG]		hello worl
[Fri Mar 04 16:33:32 PST 2022][LOG]		dasda
[Fri Mar 04 16:33:54 PST 2022][LOG]		dasdad
[Fri Mar 04 17:37:06 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:06 PST 2022][LOG]		did update
[Fri Mar 04 17:37:24 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:26 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:26 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:27 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:28 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:28 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:30 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:32 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:55 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:56 PST 2022][LOG]		didnt update
[Fri Mar 04 17:37:57 PST 2022][LOG]		didnt update
[Fri Mar 04 17:38:00 PST 2022][LOG]		didnt update
[Fri Mar 04 17:38:01 PST 2022][LOG]		dsadad
[Fri Mar 04 17:38:03 PST 2022][LOG]		dasdad
[Fri Mar 04 17:38:04 PST 2022][LOG]		did update
[Fri Mar 04 17:41:41 PST 2022][LOG]		didnt update
[Fri Mar 04 17:44:30 PST 2022][LOG]		dasad
[Fri Mar 04 17:44:32 PST 2022][LOG]		dsadada
[Fri Mar 04 17:47:23 PST 2022][LOG]		did update
[Fri Mar 04 17:47:23 PST 2022][LOG]		didnt update
[Fri Mar 04 17:47:50 PST 2022][LOG]		did update
[Fri Mar 04 17:49:14 PST 2022][LOG]		did update
[Fri Mar 04 18:05:41 PST 2022][LOG]		didnt update
[Fri Mar 04 18:36:26 PST 2022][LOG]		did update
[Fri Mar 04 18:37:47 PST 2022][LOG]		./output/
[Fri Mar 04 18:37:50 PST 2022][LOG]		https://github.com/CoryRobertson/Datapacks/releases/latest/download/Datapacks.7z
[Fri Mar 04 18:37:51 PST 2022][LOG]		did update
[Fri Mar 04 18:37:51 PST 2022][LOG]		Running with command line arguments...
[Fri Mar 04 18:37:53 PST 2022][LOG]		Update complete
[Fri Mar 04 18:38:38 PST 2022][LOG]		did update
[Fri Mar 04 18:40:30 PST 2022][LOG]		didn't update
[Fri Mar 04 18:40:40 PST 2022][LOG]		did update
[Fri Mar 04 18:40:40 PST 2022][LOG]		Running with command line arguments...
[Fri Mar 04 18:40:41 PST 2022][LOG]		Update complete
[Fri Mar 04 18:43:15 PST 2022][LOG]		did update
[Fri Mar 04 18:43:15 PST 2022][LOG]		Running with command line arguments...
[Fri Mar 04 18:43:16 PST 2022][LOG]		Update complete
